snapshot_date,chain,venue,protocol_version,market,pool_or_id,base_asset,quote_asset,fee_bps,headline_liquidity_usd,headline_volume_24h_usd,evidence_status,source,notes
2026-09-05,Alephium,Elexium,dynamic,ALPH routes,22oTtDJEMjNc9QAdmcZarnEzgkAooJp9gZy7RYBisniR5,ALPH,DYNAMIC,,, ,DISCOVERY_VERIFIED,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/elexium/index.js,"Pair Factory; individual ALPH pools must be enumerated dynamically"
2026-09-05,Alephium,AYIN,Classic,ALPH/USDTeth,2A5R8KZQ3rhKYrW7bAS4JTjY9FCFLJg6HjQpqSFZBqACX,ALPH,USDTeth,,, ,QUOTE_REQUIRED,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ayin/index.js,"Pool identity verified; live executable depth pending"
2026-09-05,Alephium,AYIN,Classic,ALPH/USDCeth,283R192Z8n6PhXSpSciyvCsLEiiEVFkSE6MbRBA4KSaAj,ALPH,USDCeth,,, ,QUOTE_REQUIRED,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ayin/index.js,"Pool identity verified; live executable depth pending"
2026-09-05,Alephium,AYIN,Classic,ALPH/WETH,yXMFxdoKcE86W9NAyajc8Z3T3k2f5FGiHqHtuA69DYT1,ALPH,WETH,,, ,QUOTE_REQUIRED,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ayin/index.js,"Pool identity verified; live executable depth pending"
2026-09-05,Alephium,AYIN,Classic,ALPH/WBTC,28XY326TxvSekaAwiWDLFg2QBRfacSga8dyNJCYGUYNbq,ALPH,WBTC,,, ,QUOTE_REQUIRED,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ayin/index.js,"Pool identity verified; live executable depth pending"
2026-09-05,Alephium,AYIN,CL_FACTORY,ALPH concentrated pools,z73CeQLRpbaQ5gF7bJ1yoYqmmonwC9h9wEwLxGF9EjVy,ALPH,DYNAMIC,,, ,DISCOVERY_VERIFIED,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/ayin/index.js,"Factory child pools must be enumerated; fee tiers may be 1/5/30/100 bps"
2026-09-05,Alephium,Nightshade,registry,ALPH routes,24pPSeXvbmUjM6NZVYehEjLiCDDDeT94CR9rp1YJSuxKZ,ALPH,DYNAMIC,,, ,DISCOVERY_VERIFIED,https://github.com/DefiLlama/DefiLlama-Adapters/blob/main/projects/nightshade/index.js,"Pair registry; ALPH pairs need dynamic enumeration"
2026-09-05,Ethereum,Uniswap,V3,ALPH/USDT,0xa344855388C9f2760e998eb2207B58de6E7d0360,wALPH,USDT,100,20394,57.54,QUOTE_REQUIRED,https://www.geckoterminal.com/eth/pools/0xa344855388c9f2760e998eb2207b58de6e7d0360,"Indexer snapshot ~3 days old; pool highly asymmetric; live quote required"
2026-09-05,Ethereum,Uniswap,V3,ALPH/WETH,0x9628105808292699874f20d77d50a09bc26850c5,wALPH,WETH,100,2189.24,0,WATCH,https://www.geckoterminal.com/eth/pools/0x9628105808292699874f20d77d50a09bc26850c5,"Indexer snapshot ~3 days old; liquidity materially lower than historical snapshots"
2026-09-05,Ethereum,Uniswap,V4,ALPH/ETH,0xf0cdd5f94e3ef41a04f9cf19e933ad6ab03b2f759f8b5535370be7cff8986b92,wALPH,ETH,290,6775.44,4248.81,WATCH_HIGH_FEE,https://www.geckoterminal.com/eth/pools/0xf0cdd5f94e3ef41a04f9cf19e933ad6ab03b2f759f8b5535370be7cff8986b92,"Current snapshot; V4 PoolId not standalone pool contract; 290 bps one-leg fee"
2026-09-05,Ethereum,Uniswap,V4,ALPH/ETH,0xa03b4945e30c86d78b907801d4cfc6ade4c7ba5a4c5dd201dadc7ace4fe321e4,wALPH,ETH,295,1647.67,1162.40,WATCH_HIGH_FEE,https://www.geckoterminal.com/eth/pools/0xa03b4945e30c86d78b907801d4cfc6ade4c7ba5a4c5dd201dadc7ace4fe321e4,"Older indexer snapshot; high fee"
2026-09-05,Ethereum,Uniswap,V4,ALPH/USDT,0xf90aea138d927b1e1bb2fc0edc7f07d4278317d747919e14ec3637c78056c06f,wALPH,USDT,4000,1220.48,0,REJECT_FEE,https://www.geckoterminal.com/eth/pools/0xf90aea138d927b1e1bb2fc0edc7f07d4278317d747919e14ec3637c78056c06f,"40 percent fee; reject from normal arbitrage universe"
2026-09-05,BSC,PancakeSwap,V3,ALPH/WBNB,0xb685dF3cEC9E01048553355e9256267b1bD56E0E,wALPH,WBNB,100,0.07255,0,REJECT_LIQUIDITY,https://www.geckoterminal.com/bsc/pools/0xb685df3cec9e01048553355e9256267b1bd56e0e,"Current snapshot; effectively empty"
2026-09-05,BSC,PancakeSwap,V3,ALPH/USDT,0xc44b6f04696bc502a27e90abCbf3a32f0DEFC29b,wALPH,USDT,100,8.7539,0,REJECT_LIQUIDITY,https://www.geckoterminal.com/bsc/pools/0xc44b6f04696bc502a27e90abcbf3a32f0defc29b,"Current snapshot; effectively unusable"
2026-09-05,BSC,Uniswap,V4,ALPH/USDT,0x1af86a9bff512be56a777c05238d6c3f4462aafe80927f0feb6d8b549d5bf8a4,wALPH,USDT,3000,1516.77,83.37,REJECT_FEE,https://www.geckoterminal.com/bsc/pools/0x1af86a9bff512be56a777c05238d6c3f4462aafe80927f0feb6d8b549d5bf8a4,"30 percent fee; discovery evidence only"
